City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,zalari,53.5584,102.5065,-1.34,90,100,2.59,RU,1713914470
84,st. john's,47.5649,-52.7093,5.15,61,75,5.14,CA,1713914109
85,biloela,-24.4167,150.5,22.16,68,1,4.56,AU,1713914471
86,new plymouth,-39.0667,174.0833,14.06,72,39,5.32,NZ,1713914403
87,dubovka,49.0583,44.829,10.53,67,12,3.97,RU,1713914473
88,forster,-32.1667,152.5167,21.32,81,100,2.43,AU,1713914107
89,punta arenas,-53.15,-70.9167,8.06,71,75,10.29,CL,1713913954
90,invercargill,-46.4,168.35,16.12,80,100,0.89,NZ,1713914115
91,fort bragg,35.139,-79.006,21.32,36,0,5.14,US,1713914142
92,richards bay,-28.783,32.0377,20.62,87,41,0.4,ZA,1713914475
93,hasaki,35.7333,140.8333,15.22,72,100,6.22,JP,1713914475
94,tromso,69.6496,18.957,-0.99,86,75,3.6,NO,1713914400
95,kaiapoi,-43.3783,172.6401,20.94,46,75,1.54,NZ,1713914476
96,east ballina,-28.8667,153.5833,20.44,74,29,3.08,AU,1713914301
97,talnakh,69.4865,88.3972,-14.28,86,71,0.76,RU,1713914123
98,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,85,0,2.0,RU,1713914146
99,las tablas,7.7667,-80.2833,28.43,99,73,6.2,PA,1713914477
100,butte,39.6499,-121.5677,22.38,50,100,6.17,US,1713914477
101,waingapu,-9.6567,120.2641,26.04,85,39,4.07,ID,1713914233
102,shahrud,36.4182,54.9763,9.34,79,100,5.78,IR,1713914477
103,gadzhiyevo,69.2551,33.3362,0.59,94,67,5.69,RU,1713914180
104,ust'-ilimsk,58.0006,102.6619,-1.98,94,90,3.58,RU,1713913900
105,banyo,6.75,11.8167,24.41,54,100,1.18,CM,1713914479
106,yeppoon,-23.1333,150.7333,22.88,79,28,5.02,AU,1713914480
107,pisco,-13.7,-76.2167,22.03,78,0,9.77,PE,1713914166
108,kuanda,56.3161,116.0806,1.15,73,71,1.31,RU,1713914480
109,darovskoy,58.77,47.9564,10.79,93,100,4.08,RU,1713914480
110,tazovsky,67.4667,78.7,-16.02,97,42,4.47,RU,1713914167
111,cabo san lucas,22.8909,-109.9124,31.45,44,0,5.14,MX,1713913941
112,skeldon,5.8833,-57.1333,25.98,86,99,4.2,GY,1713914481
113,puerto quijarro,-17.7833,-57.7667,29.13,64,97,1.1,BO,1713914482
114,jamestown,42.097,-79.2353,10.29,89,100,3.6,US,1713914271
115,acapulco de juarez,16.8634,-99.8901,28.9,74,40,3.09,MX,1713914482
116,derinkuyu,38.3751,34.7342,13.31,32,40,2.22,TR,1713914482
117,constantia,44.1833,28.65,12.61,84,100,8.29,RO,1713914148
118,peace river,56.2501,-117.286,17.17,18,40,5.66,CA,1713914261
119,ulsteinvik,62.3432,5.8487,5.97,78,100,2.68,NO,1713914483
120,le port,-20.9373,55.2919,24.0,83,6,1.4,RE,1713914483
121,kokopo,-4.352,152.2633,29.45,69,96,3.39,PG,1713914483
122,hamilton,39.1834,-84.5333,19.35,52,100,3.58,US,1713914166
123,luderitz,-26.6481,15.1594,16.07,83,3,3.9,NA,1713914207
124,remire-montjoly,4.9167,-52.2667,28.02,78,40,3.6,GF,1713914193
125,norton shores,43.1689,-86.2639,16.1,82,75,10.8,US,1713914190
126,susuman,62.7833,148.1667,-5.01,91,85,1.34,RU,1713914266
127,sinabang,2.4803,96.3801,27.38,84,100,0.62,ID,1713914485
128,roslavl',53.9528,32.8639,2.69,80,70,2.15,RU,1713914400
129,de panne,51.0792,2.5917,7.92,85,75,7.2,BE,1713914486
130,mandalgovi,45.7625,106.2708,3.59,50,74,9.07,MN,1713914392
131,marat,25.0701,45.4615,23.55,21,1,3.07,SA,1713914486
132,ola,59.5833,151.2833,-3.25,92,97,1.99,RU,1713914487
133,coahuayana de hidalgo,18.7,-103.6583,30.9,37,96,2.68,MX,1713914254
134,raduzhny,62.0961,77.475,-16.72,96,64,3.37,RU,1713914337
135,tazacorte,28.629,-17.9293,20.08,73,40,4.63,ES,1713914178
136,bengkulu,-3.8004,102.2655,25.27,88,100,1.98,ID,1713914490
137,zhosaly,45.4878,64.0781,20.25,45,5,4.54,KZ,1713914490
138,al bardiyah,31.7561,25.0865,18.13,90,85,10.2,LY,1713914490
139,hermanus,-34.4187,19.2345,13.78,92,100,1.13,ZA,1713914160
140,saipan,15.1355,145.701,31.39,62,40,7.72,MP,1713914207
141,shimoda,34.6667,138.95,15.2,91,100,8.37,JP,1713914492
142,santa elena de uairen,4.6167,-61.1333,22.06,83,100,0.96,VE,1713914492
143,akureyri,65.6835,-18.0878,1.96,80,0,0.0,IS,1713914492
144,pyongyang,39.0339,125.7543,9.13,81,100,3.94,KP,1713914229
145,chibougamau,49.9168,-74.3659,-2.21,100,100,3.09,CA,1713914339
146,kearney,40.6995,-99.0815,19.31,30,0,6.69,US,1713914493
147,zalingei,12.9096,23.4741,28.27,14,3,2.78,SD,1713914493
148,aruja,-23.3961,-46.3208,26.02,64,0,0.0,BR,1713914494
149,pathein,16.7833,94.7333,26.3,86,8,2.36,MM,1713914495
150,sao felix do xingu,-6.6447,-51.995,23.96,98,45,0.73,BR,1713914196
151,arraial do cabo,-22.9661,-42.0278,24.65,85,0,5.63,BR,1713914055
152,badger,64.8,-147.5333,12.14,36,40,2.57,US,1713914091
153,hampton bays,40.869,-72.5176,10.48,67,0,6.71,US,1713914495
154,qaqortoq,60.7167,-46.0333,0.9,100,100,1.57,GL,1713914171
155,tual,-5.6667,132.75,28.82,76,16,2.7,ID,1713914216
156,minas novas,-17.2186,-42.5903,23.05,79,91,1.47,BR,1713914496
157,linqiong,30.4159,103.4609,15.9,78,100,0.81,CN,1713914496
158,minggang,32.4586,114.0486,16.41,47,100,1.2,CN,1713914497
159,port alfred,-33.5906,26.891,20.67,90,97,4.7,ZA,1713914170
160,longyearbyen,78.2186,15.6401,-6.09,86,0,3.6,SJ,1713914180
161,fort dodge,42.4975,-94.168,18.0,33,75,5.66,US,1713914498
162,cosala,24.4125,-106.6908,35.26,15,65,4.4,MX,1713914498
163,holualoa,19.6228,-155.9522,25.31,80,100,5.14,US,1713914274
164,port elizabeth,-33.918,25.5701,17.16,94,75,1.54,ZA,1713914149
165,mariental,-24.6333,17.9667,24.87,22,1,4.59,NA,1713914404
